Frame_ID,Configuration,Panel_type,Species,Count
7,Grouped,Ripple,M_gigas,0
7,Grouped,Ripple,M_gigas,0
7,Grouped,Ripple,M_gigas,0
8,Random,25_cm,M_gigas,0
8,Random,25_cm,M_gigas,0
8,Random,25_cm,M_gigas,0
8,Random,Flat,M_gigas,0
8,Random,Flat,M_gigas,0
8,Random,Flat,M_gigas,0
8,Random,Ripple,M_gigas,0
8,Random,Ripple,M_gigas,0
8,Random,Ripple,M_gigas,0
9,Grouped,25_cm,M_gigas,0
9,Grouped,25_cm,M_gigas,0
9,Grouped,25_cm,M_gigas,0
9,Grouped,Flat,M_gigas,1
9,Grouped,Flat,M_gigas,0
9,Grouped,Flat,M_gigas,0
9,Grouped,Ripple,M_gigas,0
9,Grouped,Ripple,M_gigas,0
9,Grouped,Ripple,M_gigas,0
10,Random,25_cm,M_gigas,0
10,Random,25_cm,M_gigas,0
10,Random,25_cm,M_gigas,0
10,Random,Flat,M_gigas,0
10,Random,Flat,M_gigas,0
10,Random,Flat,M_gigas,0
10,Random,Ripple,M_gigas,0
10,Random,Ripple,M_gigas,0
10,Random,Ripple,M_gigas,0
11,Grouped,25_cm,M_gigas,0
11,Grouped,25_cm,M_gigas,0
11,Grouped,25_cm,M_gigas,1
11,Grouped,Flat,M_gigas,0
11,Grouped,Flat,M_gigas,0
11,Grouped,Flat,M_gigas,0
11,Grouped,Ripple,M_gigas,0
11,Grouped,Ripple,M_gigas,0
11,Grouped,Ripple,M_gigas,0
12,Random,25_cm,M_gigas,0
12,Random,25_cm,M_gigas,0
12,Random,25_cm,M_gigas,0
12,Random,Flat,M_gigas,0
12,Random,Flat,M_gigas,0
12,Random,Flat,M_gigas,0
12,Random,Ripple,M_gigas,0
12,Random,Ripple,M_gigas,0
12,Random,Ripple,M_gigas,0
13,Grouped,5_cm,M_gigas,0
13,Grouped,5_cm,M_gigas,0
13,Grouped,5_cm,M_gigas,0
13,Grouped,Flat,M_gigas,0
13,Grouped,Flat,M_gigas,1
13,Grouped,Flat,M_gigas,0
13,Grouped,Ripple,M_gigas,0
13,Grouped,Ripple,M_gigas,0
13,Grouped,Ripple,M_gigas,0
14,Random,5_cm,M_gigas,0
14,Random,5_cm,M_gigas,1
14,Random,5_cm,M_gigas,0
14,Random,Flat,M_gigas,0
14,Random,Flat,M_gigas,0
14,Random,Flat,M_gigas,0
14,Random,Ripple,M_gigas,0
14,Random,Ripple,M_gigas,0
14,Random,Ripple,M_gigas,0
15,Grouped,5_cm,M_gigas,0
15,Grouped,5_cm,M_gigas,0
15,Grouped,5_cm,M_gigas,0
15,Grouped,Flat,M_gigas,0
15,Grouped,Flat,M_gigas,0
15,Grouped,Flat,M_gigas,0
15,Grouped,Ripple,M_gigas,1
15,Grouped,Ripple,M_gigas,0
15,Grouped,Ripple,M_gigas,1
16,Random,5_cm,M_gigas,0
16,Random,5_cm,M_gigas,1
16,Random,5_cm,M_gigas,0
16,Random,Flat,M_gigas,0
16,Random,Flat,M_gigas,0
16,Random,Flat,M_gigas,1
16,Random,Ripple,M_gigas,1
16,Random,Ripple,M_gigas,0
16,Random,Ripple,M_gigas,0
17,Grouped,5_cm,M_gigas,2
17,Grouped,5_cm,M_gigas,0
17,Grouped,5_cm,M_gigas,0
17,Grouped,Flat,M_gigas,2
17,Grouped,Flat,M_gigas,0
17,Grouped,Flat,M_gigas,0
17,Grouped,Ripple,M_gigas,0
17,Grouped,Ripple,M_gigas,0
17,Grouped,Ripple,M_gigas,0
18,Random,5_cm,M_gigas,0
18,Random,5_cm,M_gigas,0
18,Random,5_cm,M_gigas,0
18,Random,Flat,M_gigas,0
18,Random,Flat,M_gigas,0
18,Random,Flat,M_gigas,0
18,Random,Ripple,M_gigas,0
18,Random,Ripple,M_gigas,0
18,Random,Ripple,M_gigas,0
19,Grouped,5_cm,M_gigas,0
19,Grouped,5_cm,M_gigas,0
19,Grouped,5_cm,M_gigas,1
19,Grouped,Flat,M_gigas,0
19,Grouped,Flat,M_gigas,0
19,Grouped,Flat,M_gigas,0
19,Grouped,Ripple,M_gigas,0
19,Grouped,Ripple,M_gigas,0
19,Grouped,Ripple,M_gigas,0
20,Random,5_cm,M_gigas,0
20,Random,5_cm,M_gigas,0
20,Random,5_cm,M_gigas,0
20,Random,Flat,M_gigas,0
20,Random,Flat,M_gigas,0
20,Random,Flat,M_gigas,0
20,Random,Ripple,M_gigas,0
20,Random,Ripple,M_gigas,0
20,Random,Ripple,M_gigas,0
21,Grouped,5_cm,M_gigas,0
21,Grouped,5_cm,M_gigas,0
21,Grouped,5_cm,M_gigas,0
21,Grouped,Flat,M_gigas,0
21,Grouped,Flat,M_gigas,0
21,Grouped,Flat,M_gigas,0
21,Grouped,Ripple,M_gigas,0
21,Grouped,Ripple,M_gigas,0
21,Grouped,Ripple,M_gigas,0
22,Random,5_cm,M_gigas,1
22,Random,5_cm,M_gigas,0
22,Random,5_cm,M_gigas,0
22,Random,Flat,M_gigas,0
22,Random,Flat,M_gigas,1
22,Random,Flat,M_gigas,0
22,Random,Ripple,M_gigas,0
22,Random,Ripple,M_gigas,0
22,Random,Ripple,M_gigas,0
23,Grouped,5_cm,M_gigas,0
23,Grouped,5_cm,M_gigas,0
23,Grouped,5_cm,M_gigas,0
23,Grouped,Flat,M_gigas,0
23,Grouped,Flat,M_gigas,0
23,Grouped,Flat,M_gigas,0
23,Grouped,Ripple,M_gigas,0
23,Grouped,Ripple,M_gigas,0
23,Grouped,Ripple,M_gigas,0
24,Random,5_cm,M_gigas,0
24,Random,5_cm,M_gigas,0
24,Random,5_cm,M_gigas,0
24,Random,Flat,M_gigas,0
24,Random,Flat,M_gigas,0
24,Random,Flat,M_gigas,0
24,Random,Ripple,M_gigas,0
24,Random,Ripple,M_gigas,0
24,Random,Ripple,M_gigas,0
1,Grouped,25_cm,A_ephi,0
1,Grouped,25_cm,A_ephi,0
1,Grouped,25_cm,A_ephi,0
1,Grouped,Flat,A_ephi,0
1,Grouped,Flat,A_ephi,0
1,Grouped,Flat,A_ephi,0
1,Grouped,Ripple,A_ephi,0
1,Grouped,Ripple,A_ephi,0
1,Grouped,Ripple,A_ephi,0
2,Random,25_cm,A_ephi,0
2,Random,25_cm,A_ephi,12
2,Random,25_cm,A_ephi,0
2,Random,Flat,A_ephi,0
2,Random,Flat,A_ephi,0
2,Random,Flat,A_ephi,0
2,Random,Ripple,A_ephi,0
2,Random,Ripple,A_ephi,0
2,Random,Ripple,A_ephi,0
3,Grouped,25_cm,A_ephi,0
3,Grouped,25_cm,A_ephi,0
3,Grouped,25_cm,A_ephi,0
3,Grouped,Flat,A_ephi,0
3,Grouped,Flat,A_ephi,0
3,Grouped,Flat,A_ephi,0
3,Grouped,Ripple,A_ephi,0
3,Grouped,Ripple,A_ephi,0
3,Grouped,Ripple,A_ephi,0
4,Random,25_cm,A_ephi,0
4,Random,25_cm,A_ephi,0
4,Random,25_cm,A_ephi,0
4,Random,Flat,A_ephi,0
4,Random,Flat,A_ephi,0
4,Random,Flat,A_ephi,0
4,Random,Ripple,A_ephi,0
4,Random,Ripple,A_ephi,0
4,Random,Ripple,A_ephi,0
5,Grouped,25_cm,A_ephi,2
5,Grouped,25_cm,A_ephi,0
5,Grouped,25_cm,A_ephi,0
5,Grouped,Flat,A_ephi,0
5,Grouped,Flat,A_ephi,0
5,Grouped,Flat,A_ephi,0
5,Grouped,Ripple,A_ephi,0
5,Grouped,Ripple,A_ephi,0
5,Grouped,Ripple,A_ephi,0
6,Random,25_cm,A_ephi,0
6,Random,25_cm,A_ephi,3
6,Random,25_cm,A_ephi,0
6,Random,Flat,A_ephi,0
6,Random,Flat,A_ephi,0
6,Random,Flat,A_ephi,0
6,Random,Ripple,A_ephi,0
6,Random,Ripple,A_ephi,0
6,Random,Ripple,A_ephi,0
7,Grouped,25_cm,A_ephi,0
7,Grouped,25_cm,A_ephi,0
7,Grouped,25_cm,A_ephi,0
7,Grouped,Flat,A_ephi,0
7,Grouped,Flat,A_ephi,0
7,Grouped,Flat,A_ephi,0
7,Grouped,Ripple,A_ephi,0
7,Grouped,Ripple,A_ephi,0
7,Grouped,Ripple,A_ephi,0
8,Random,25_cm,A_ephi,0
8,Random,25_cm,A_ephi,0
8,Random,25_cm,A_ephi,0
8,Random,Flat,A_ephi,0
8,Random,Flat,A_ephi,0
8,Random,Flat,A_ephi,0
8,Random,Ripple,A_ephi,0
8,Random,Ripple,A_ephi,0
8,Random,Ripple,A_ephi,0
9,Grouped,25_cm,A_ephi,0
9,Grouped,25_cm,A_ephi,0
9,Grouped,25_cm,A_ephi,0
9,Grouped,Flat,A_ephi,0
9,Grouped,Flat,A_ephi,0
9,Grouped,Flat,A_ephi,0
9,Grouped,Ripple,A_ephi,0
9,Grouped,Ripple,A_ephi,0
9,Grouped,Ripple,A_ephi,0
10,Random,25_cm,A_ephi,0
10,Random,25_cm,A_ephi,0
10,Random,25_cm,A_ephi,0
10,Random,Flat,A_ephi,0
10,Random,Flat,A_ephi,0
10,Random,Flat,A_ephi,0
10,Random,Ripple,A_ephi,1
10,Random,Ripple,A_ephi,0
10,Random,Ripple,A_ephi,0
11,Grouped,25_cm,A_ephi,0
11,Grouped,25_cm,A_ephi,0
11,Grouped,25_cm,A_ephi,0
11,Grouped,Flat,A_ephi,0
11,Grouped,Flat,A_ephi,0
11,Grouped,Flat,A_ephi,0
11,Grouped,Ripple,A_ephi,0
11,Grouped,Ripple,A_ephi,0
11,Grouped,Ripple,A_ephi,0
12,Random,25_cm,A_ephi,0
12,Random,25_cm,A_ephi,0
12,Random,25_cm,A_ephi,0
12,Random,Flat,A_ephi,0
12,Random,Flat,A_ephi,1
12,Random,Flat,A_ephi,0
12,Random,Ripple,A_ephi,0
12,Random,Ripple,A_ephi,0
12,Random,Ripple,A_ephi,0
13,Grouped,5_cm,A_ephi,0
13,Grouped,5_cm,A_ephi,2
13,Grouped,5_cm,A_ephi,0
13,Grouped,Flat,A_ephi,0
13,Grouped,Flat,A_ephi,0
13,Grouped,Flat,A_ephi,1
13,Grouped,Ripple,A_ephi,0
13,Grouped,Ripple,A_ephi,0
13,Grouped,Ripple,A_ephi,0
14,Random,5_cm,A_ephi,0
14,Random,5_cm,A_ephi,0
14,Random,5_cm,A_ephi,0
14,Random,Flat,A_ephi,0
14,Random,Flat,A_ephi,0
14,Random,Flat,A_ephi,0
14,Random,Ripple,A_ephi,0
14,Random,Ripple,A_ephi,0
14,Random,Ripple,A_ephi,0
15,Grouped,5_cm,A_ephi,0
15,Grouped,5_cm,A_ephi,1
15,Grouped,5_cm,A_ephi,0
15,Grouped,Flat,A_ephi,0
15,Grouped,Flat,A_ephi,1
15,Grouped,Flat,A_ephi,0
15,Grouped,Ripple,A_ephi,0
15,Grouped,Ripple,A_ephi,0
15,Grouped,Ripple,A_ephi,0
16,Random,5_cm,A_ephi,0
16,Random,5_cm,A_ephi,0
16,Random,5_cm,A_ephi,0
16,Random,Flat,A_ephi,0
16,Random,Flat,A_ephi,0
16,Random,Flat,A_ephi,0
16,Random,Ripple,A_ephi,0
16,Random,Ripple,A_ephi,0
16,Random,Ripple,A_ephi,0
17,Grouped,5_cm,A_ephi,0
17,Grouped,5_cm,A_ephi,0
17,Grouped,5_cm,A_ephi,0
17,Grouped,Flat,A_ephi,0
17,Grouped,Flat,A_ephi,0
17,Grouped,Flat,A_ephi,0
17,Grouped,Ripple,A_ephi,0
17,Grouped,Ripple,A_ephi,0
17,Grouped,Ripple,A_ephi,0
18,Random,5_cm,A_ephi,0
18,Random,5_cm,A_ephi,4
18,Random,5_cm,A_ephi,0
18,Random,Flat,A_ephi,0
18,Random,Flat,A_ephi,1
18,Random,Flat,A_ephi,0
18,Random,Ripple,A_ephi,0
18,Random,Ripple,A_ephi,2
18,Random,Ripple,A_ephi,0
19,Grouped,5_cm,A_ephi,0
19,Grouped,5_cm,A_ephi,0
19,Grouped,5_cm,A_ephi,0
19,Grouped,Flat,A_ephi,0
19,Grouped,Flat,A_ephi,0
19,Grouped,Flat,A_ephi,0
19,Grouped,Ripple,A_ephi,0
19,Grouped,Ripple,A_ephi,0
19,Grouped,Ripple,A_ephi,0
20,Random,5_cm,A_ephi,0
20,Random,5_cm,A_ephi,0
20,Random,5_cm,A_ephi,0
20,Random,Flat,A_ephi,0
20,Random,Flat,A_ephi,0
20,Random,Flat,A_ephi,1
20,Random,Ripple,A_ephi,0
20,Random,Ripple,A_ephi,0
20,Random,Ripple,A_ephi,0
21,Grouped,5_cm,A_ephi,0
21,Grouped,5_cm,A_ephi,1
21,Grouped,5_cm,A_ephi,0
21,Grouped,Flat,A_ephi,0
21,Grouped,Flat,A_ephi,0
21,Grouped,Flat,A_ephi,1
21,Grouped,Ripple,A_ephi,6
21,Grouped,Ripple,A_ephi,1
21,Grouped,Ripple,A_ephi,2
22,Random,5_cm,A_ephi,0
22,Random,5_cm,A_ephi,0
22,Random,5_cm,A_ephi,0
22,Random,Flat,A_ephi,0
22,Random,Flat,A_ephi,0
22,Random,Flat,A_ephi,0
22,Random,Ripple,A_ephi,0
22,Random,Ripple,A_ephi,0
22,Random,Ripple,A_ephi,0
23,Grouped,5_cm,A_ephi,0
23,Grouped,5_cm,A_ephi,1
23,Grouped,5_cm,A_ephi,0
23,Grouped,Flat,A_ephi,0
23,Grouped,Flat,A_ephi,0
23,Grouped,Flat,A_ephi,0
23,Grouped,Ripple,A_ephi,0
23,Grouped,Ripple,A_ephi,0
23,Grouped,Ripple,A_ephi,0
24,Random,5_cm,A_ephi,0
24,Random,5_cm,A_ephi,0
24,Random,5_cm,A_ephi,0
24,Random,Flat,A_ephi,0
24,Random,Flat,A_ephi,0
24,Random,Flat,A_ephi,0
24,Random,Ripple,A_ephi,0
24,Random,Ripple,A_ephi,0
24,Random,Ripple,A_ephi,0
